match_id,captain,team1,team2,winner,toss_winner,venue,date_of_match
9,Eric Hanson,MI,PBKS,PBKS,MI,New Bethton,2024-12-14
2,Maria Vance,RR,SRH,SRH,RR,Barbermouth,2025-01-01
2,Fred Mcdonald,KKR,DC,KKR,DC,Nicholsonmouth,2024-09-17
7,Kimberly Williams,SRH,PBKS,PBKS,PBKS,Williamberg,2024-05-26
3,Terrence Mendoza,RR,MI,RR,RR,North Edward,2024-08-24
3,Mary Stephenson,KKR,CSK,CSK,KKR,Williamsonview,2025-01-24
6,Ryan Baker,GT,LSG,LSG,LSG,Christinaland,2025-04-19
2,Jennifer Ford,KKR,MI,MI,MI,Codystad,2024-06-29
2,Bradley Santana,DC,GT,DC,GT,Durhamhaven,2024-06-04
9,Anna Grant,KKR,MI,KKR,MI,South Amandaburgh,2024-10-28
7,Heather Nguyen,DC,PBKS,DC,PBKS,New Joshuaville,2024-07-06
4,Tyler Bowen,RCB,CSK,CSK,CSK,Lake Christopher,2024-08-03
2,Carlos Torres,CSK,RCB,RCB,RCB,South Kevin,2025-01-14
4,Mario Johnson,MI,LSG,LSG,LSG,East Fredburgh,2024-12-26
8,Andrew Fox,KKR,MI,MI,KKR,Weisshaven,2025-01-16
3,Teresa Mccarthy,DC,KKR,KKR,KKR,Port Juan,2025-02-14
6,Lori Delgado,GT,MI,GT,MI,South Williamland,2024-05-10
8,Shannon Hester,KKR,MI,KKR,KKR,Lake Jonathan,2024-07-29
5,Virginia Carter,LSG,PBKS,PBKS,PBKS,East Amberborough,2024-09-07
9,Michael Franklin,MI,RR,RR,MI,Harrisland,2024-06-11
4,Phillip Nielsen,GT,SRH,GT,GT,West Gavin,2024-08-17
2,Lisa Park,PBKS,RCB,PBKS,PBKS,Stanleyborough,2024-11-12
5,Gregory Martin,SRH,GT,GT,SRH,Ryanfort,2025-03-23
7,David Mitchell,CSK,KKR,CSK,KKR,Brittanyside,2025-02-21
3,Jordan Butler,DC,KKR,KKR,KKR,South Tommyville,2024-11-06
5,Dr. Diana Cantu,PBKS,KKR,KKR,PBKS,Hillhaven,2024-09-25
5,Stephen Valentine,RR,SRH,RR,RR,Sotoland,2025-02-25
8,Kurt Henderson,PBKS,SRH,SRH,PBKS,East Teresa,2024-09-09
7,Mary Garcia,KKR,LSG,LSG,KKR,Weavermouth,2024-07-28
6,Tina Davis,DC,KKR,KKR,KKR,Andrewside,2024-10-02
5,Donald Villarreal,DC,MI,MI,DC,Amandaview,2024-12-03
2,Jesse Anderson,KKR,RR,KKR,RR,West Cynthiamouth,2025-02-27
8,James Garcia,LSG,GT,GT,GT,Douglaston,2024-05-20
3,Kevin Mckee,KKR,CSK,CSK,KKR,Virginiatown,2024-06-21
5,Kylie Anderson,GT,LSG,GT,GT,Blackview,2024-06-25
9,Eddie Mosley V,LSG,PBKS,LSG,LSG,West Noah,2024-06-12
5,Bailey Smith,RCB,GT,RCB,GT,Christinehaven,2025-01-17
7,Allison Taylor,RCB,DC,DC,RCB,Serranoside,2024-10-11
2,Sean Long,MI,GT,MI,MI,Ronnieborough,2024-07-07
2,Raymond Lopez,MI,RR,RR,MI,Tammyberg,2024-08-14
4,Diane Thomas,PBKS,KKR,KKR,KKR,North Joseph,2024-06-15
4,Donald Downs,KKR,RR,KKR,KKR,Nancybury,2025-03-10
4,Thomas Alexander,KKR,SRH,SRH,SRH,New Andrewchester,2025-02-20
4,Scott Jones,KKR,RR,RR,RR,Aprilmouth,2024-10-11
3,John Farrell,GT,CSK,CSK,GT,South Pamelamouth,2024-06-09
2,Derrick Miles,MI,LSG,LSG,LSG,Wandashire,2024-06-27
3,Lisa Martinez,PBKS,RCB,RCB,RCB,New Brandonfurt,2024-08-27
9,Andrea Wilson,PBKS,RR,RR,RR,New Stephaniehaven,2024-07-20
6,Victoria Savage,DC,KKR,KKR,KKR,West Renee,2024-11-04
2,Nicholas Norton,PBKS,LSG,PBKS,PBKS,West Bryan,2024-06-04
7,Michelle Carson,KKR,RR,RR,RR,Johnshire,2025-03-13
3,Jeffrey Cohen,GT,MI,GT,MI,Nicoleville,2025-01-14
8,Hunter Roberts,DC,PBKS,DC,PBKS,South Brandonville,2024-10-26
7,Vincent Ruiz,RCB,CSK,CSK,RCB,Johnhaven,2025-01-25
3,Shelby Anderson,PBKS,RCB,RCB,RCB,New Linda,2025-01-21
8,Brooke Pham,KKR,GT,GT,GT,Solisville,2025-02-07
3,Sean Hogan,CSK,RR,CSK,CSK,Hooverchester,2025-02-02
2,Joseph Koch,KKR,SRH,SRH,SRH,North Jessica,2024-11-22
3,Charles Moore,RCB,KKR,KKR,KKR,North Colinstad,2024-08-20
2,Pamela Saunders,KKR,GT,GT,KKR,North Tanyaberg,2025-03-03
9,William Austin,RR,GT,GT,GT,South Wendymouth,2024-06-12
5,Kevin Spencer,LSG,PBKS,LSG,PBKS,Michaelmouth,2025-01-01
2,Suzanne Whitney,RR,KKR,RR,RR,Michaeltown,2025-01-25
3,Angela Fuller,SRH,GT,GT,SRH,Lake Victor,2024-12-30
3,Kevin Schultz,DC,GT,GT,DC,Bradleyview,2024-07-25
5,Linda Hendricks,LSG,RR,LSG,RR,West Matthewport,2024-12-08
3,Carla Sherman,CSK,RCB,CSK,RCB,East Courtneystad,2024-06-28
4,Brian Green,MI,KKR,MI,MI,West Dale,2024-06-26
4,Kayla Garcia,DC,KKR,DC,KKR,Port Rachelhaven,2024-09-19
7,Jennifer Mendoza,RR,LSG,LSG,RR,Tinaville,2024-07-08
6,Todd Gray,KKR,RCB,KKR,RCB,Dicksonton,2024-06-08
8,Benjamin Perkins,MI,KKR,MI,MI,West Angela,2025-04-21
5,Frank Richmond Jr.,LSG,DC,DC,DC,Port Amyberg,2025-01-01
7,Julie Meyers,DC,RR,RR,DC,South Courtneyburgh,2024-09-25
2,Brian Ward,PBKS,CSK,CSK,CSK,Palmerland,2024-09-25
4,Katie Taylor,DC,RR,RR,DC,New Travisport,2025-02-26
5,Mrs. Kayla Casey,RR,CSK,RR,CSK,New Teresafurt,2024-09-11
4,Michelle Matthews,RR,SRH,RR,SRH,Tiffanyshire,2024-07-01
3,Curtis Boone DDS,PBKS,CSK,CSK,CSK,East Michael,2024-09-30
8,Ronald Ali,RR,SRH,RR,SRH,New William,2025-04-01
7,Christopher Rice,MI,SRH,MI,MI,Michaelfurt,2024-11-25
7,Emily Smith,SRH,RCB,RCB,RCB,North Joseph,2025-01-13
9,Dale Hayes,DC,PBKS,PBKS,PBKS,Johnnybury,2024-05-15
6,Timothy Fitzgerald,DC,MI,MI,DC,New Mikaylafurt,2024-08-24
8,Justin Flowers,DC,GT,DC,GT,North Davidbury,2024-09-26
4,Jeffrey Smith,PBKS,LSG,PBKS,PBKS,Port Daniel,2024-10-17
4,Susan Griffith DVM,GT,DC,GT,GT,New Luke,2024-06-22
6,Matthew Howard,RR,GT,GT,GT,New Sherifort,2024-05-29
3,Monica Bishop,DC,LSG,DC,DC,Williamland,2024-06-25
9,Kelsey Ali,PBKS,CSK,CSK,CSK,West Stacy,2024-07-24
5,Sharon Gates,DC,SRH,SRH,SRH,Jeanetteton,2025-01-02
8,Misty Thomas,MI,GT,GT,GT,Lake Tyler,2024-08-04
6,Victoria Roth,SRH,RR,SRH,SRH,East Megan,2025-01-08
2,Vanessa Carrillo,CSK,PBKS,PBKS,CSK,East Davidmouth,2025-04-23
5,Rachel Bender,KKR,PBKS,KKR,PBKS,Martinezshire,2025-02-21
6,Monique Franco,DC,KKR,KKR,KKR,Thomasshire,2024-10-23
7,Craig Goodman,LSG,CSK,LSG,LSG,Wardchester,2024-07-09
5,Sarah Sandoval,DC,RR,RR,DC,Riggsburgh,2024-06-19
6,Susan James,RCB,LSG,LSG,RCB,Port Brenda,2024-08-19
2,Joe Rodgers,RCB,RR,RR,RR,Edwinmouth,2024-06-12
9,Sandra Martinez,GT,KKR,GT,KKR,Lake Timothy,2025-01-26
4,Travis Jackson,CSK,DC,DC,CSK,Harrisstad,2024-12-10
2,Misty Reynolds,LSG,PBKS,PBKS,LSG,South Shannon,2024-08-17
4,Heather Alvarez,PBKS,SRH,PBKS,PBKS,Ramireztown,2024-10-27
4,Scott Cox,SRH,LSG,LSG,LSG,South Jessicamouth,2024-05-29
9,Justin Chapman,CSK,RR,CSK,CSK,South Brianstad,2024-07-13
9,Jodi Herman,PBKS,SRH,PBKS,PBKS,Mckinneyburgh,2024-11-27
2,Jacob Edwards,RR,GT,RR,RR,Brucemouth,2024-12-26
2,Deanna Garrison,GT,RR,GT,RR,Daniellehaven,2024-12-18
5,Shelia Carter,MI,DC,DC,MI,Williamsmouth,2024-08-16
7,Hannah Gomez,CSK,DC,CSK,DC,West Josephshire,2024-12-14
5,Samuel Deleon,PBKS,CSK,CSK,CSK,Sawyerland,2025-02-05
8,Brittney Jackson,PBKS,MI,PBKS,MI,New Lori,2025-03-25
3,Jacob Miller,CSK,MI,CSK,CSK,East Laura,2025-03-24
8,Brian Lee,MI,GT,MI,GT,Lake Renee,2024-12-18
8,Arthur Roach,DC,MI,MI,MI,East Katelynmouth,2025-01-13
3,Cheryl Holmes,SRH,RR,SRH,SRH,South Michael,2024-12-31
8,Kenneth Allen,RR,RCB,RR,RR,West Candicetown,2024-07-04
6,Kaitlyn Murphy,LSG,RR,RR,LSG,East Margaretview,2024-05-20
6,Brooke Watson,RR,CSK,RR,CSK,Richardfort,2024-12-06
2,Eric Sheppard,RR,DC,DC,DC,Perezport,2024-10-13
8,James Wright,KKR,RR,KKR,KKR,Port Andrewton,2024-07-16
4,Manuel Irwin,RR,PBKS,RR,RR,North Jane,2025-04-07
4,Mark Shepard,RR,MI,RR,RR,Carrshire,2025-01-01
5,Karen Parker,PBKS,RR,RR,RR,Stevensfurt,2024-06-03
6,Christopher Holmes,CSK,RCB,RCB,RCB,New Christopherhaven,2024-12-25
4,Amy Eaton,CSK,RCB,CSK,CSK,Greenside,2024-10-25
5,Kelly Erickson,SRH,KKR,KKR,KKR,East Harold,2024-08-27
2,Charlotte Hanson,PBKS,CSK,PBKS,CSK,West Hannah,2024-11-11
5,Ernest Adams,DC,LSG,LSG,LSG,Olsenport,2024-07-31
2,Michael Richards,DC,RR,DC,RR,Connerhaven,2024-09-23
4,John Hamilton,GT,PBKS,GT,PBKS,Jenniferborough,2024-06-26
6,Robert Castro,DC,SRH,SRH,SRH,West Scottland,2024-12-06
5,Stephanie Cross,DC,GT,DC,DC,South Carlosmouth,2025-02-21
5,Jennifer Allen,RR,CSK,CSK,CSK,Robinberg,2024-10-16
9,David Conway,CSK,GT,GT,GT,Colleenport,2025-03-26
5,Hannah Ramirez,RR,LSG,LSG,RR,Port Jeffrey,2024-11-23
9,Christina Logan,GT,LSG,GT,GT,Michaelside,2025-01-23
2,Grace Williams,RR,RCB,RCB,RCB,North Melissaville,2024-08-16
2,Erin Smith,LSG,CSK,LSG,LSG,North Allisonville,2025-02-05
4,Dennis Hernandez,DC,CSK,DC,CSK,New Kristenview,2025-01-04
2,Aaron George,CSK,KKR,CSK,CSK,West Jamestown,2025-03-01
4,Tara Duncan,DC,CSK,CSK,CSK,Hayesfort,2024-06-17
7,Patty Cooper,KKR,MI,KKR,MI,North Nicole,2025-02-08
8,Patricia Ward,RCB,MI,RCB,RCB,Dylanhaven,2025-04-14
2,Paula Martinez,RCB,GT,GT,RCB,West Brett,2024-07-30
9,Joshua Andrade,LSG,SRH,LSG,LSG,Kerrside,2025-05-05
5,Sharon Stokes,SRH,GT,SRH,GT,South Katherine,2024-09-27
7,Madison Finley,MI,SRH,MI,MI,East Melissamouth,2024-07-12
2,Ralph Chang,MI,LSG,MI,MI,New Amanda,2025-02-04
8,Rebecca Thompson,RR,DC,RR,RR,Robertoburgh,2024-07-16
4,Kayla Coleman,CSK,LSG,LSG,LSG,Audreyshire,2025-04-27
9,Katherine Mason,RCB,DC,DC,DC,Kennethview,2024-11-22
9,Peter Bass II,RR,KKR,RR,KKR,Rebeccaborough,2024-07-25
8,Stacy Lane,CSK,MI,MI,CSK,Port Carrie,2025-01-17
4,Joseph White,CSK,RCB,CSK,RCB,Smithview,2025-03-28
2,Spencer Beard,RR,LSG,RR,LSG,Heatherland,2024-07-10
9,Joseph Cabrera,RR,DC,DC,DC,East Craigfurt,2024-05-10
2,Joanna Nguyen,RR,PBKS,PBKS,PBKS,South Timothy,2024-09-04
8,Erica Simpson,RCB,GT,GT,RCB,Santosmouth,2025-02-11
5,Vanessa Douglas,KKR,CSK,KKR,KKR,Lake Jeremyview,2024-07-15
6,Ian Johnson,LSG,DC,LSG,LSG,North Michael,2025-01-12
7,Samuel Wiggins,CSK,PBKS,CSK,PBKS,Bryanthaven,2025-01-10
6,Bonnie Perez,CSK,SRH,CSK,SRH,Andrewville,2025-02-22
6,Mckenzie Joyce,GT,LSG,GT,GT,North Frederickside,2024-09-27
6,John Washington,RCB,SRH,RCB,RCB,Georgeton,2025-04-18
9,Kevin Mcclure,KKR,RCB,RCB,KKR,West Mary,2024-07-06
4,Justin Lynch,KKR,GT,GT,KKR,Lake Jeffery,2024-10-11
8,Elizabeth Barnes,RR,MI,RR,RR,Carsonfort,2024-09-04
5,Marie King,SRH,DC,DC,SRH,Karenhaven,2025-03-21
4,Debbie Lewis,KKR,LSG,LSG,KKR,Parkerport,2024-12-13
6,Yvette Henry,KKR,PBKS,KKR,KKR,Lake Anthony,2024-05-18
5,Preston Gonzalez,KKR,GT,GT,GT,Lake Lisatown,2024-06-18
8,Linda Eaton,SRH,RCB,SRH,RCB,North Danielle,2024-10-30
8,Rebecca Kramer,PBKS,SRH,SRH,SRH,North Catherine,2024-11-28
9,Joann Scott,KKR,DC,DC,DC,Muellerborough,2024-12-22
6,Haley Nelson,LSG,RR,RR,RR,Lake Bryanburgh,2024-08-13
3,Kelly Wilson,GT,PBKS,GT,PBKS,Port Mike,2024-08-24
4,Monica Moreno,DC,MI,MI,MI,New Kevin,2024-12-23
2,Melissa Kim,MI,RR,MI,MI,Port Ricky,2025-04-28
9,Dennis Lewis,CSK,PBKS,CSK,PBKS,Colintown,2024-11-25
7,Jason Hunt,CSK,GT,CSK,GT,South Michelleburgh,2024-10-23
5,Gregory Johnson,CSK,RCB,CSK,CSK,Andrewburgh,2024-12-29
5,Eric Cherry,LSG,RR,RR,RR,Lisatown,2024-10-02
7,Ernest Atkins,SRH,RCB,SRH,RCB,Hansenview,2024-08-30
4,Samantha Davidson,CSK,LSG,CSK,LSG,Williamland,2024-05-11
9,Christopher Rhodes,CSK,RR,RR,CSK,Erinport,2024-12-31
9,James Hurley,CSK,DC,DC,DC,West Ryanton,2024-08-05
6,Chase Garcia,MI,SRH,SRH,MI,Lake Katrina,2024-12-14
5,Kenneth Weaver,SRH,PBKS,PBKS,SRH,New Jacobport,2024-08-01
4,Nathaniel King,DC,KKR,DC,KKR,Ashleymouth,2024-12-09
4,Ronald King,DC,GT,DC,DC,Thomaston,2024-06-22
9,David Moran,MI,PBKS,MI,MI,Alexanderchester,2025-05-06
7,Jesse Pittman,GT,RCB,RCB,GT,Phillipchester,2025-05-08
5,Renee Harris,LSG,RCB,LSG,LSG,Port Sarah,2024-06-05
8,Teresa Bryant,CSK,RCB,CSK,RCB,Chaseton,2024-07-21
4,Robert Black,RCB,LSG,LSG,RCB,New Janiceville,2024-10-03
2,Anthony Sims,SRH,MI,MI,MI,Port Justinport,2025-02-09
9,John Conner,RCB,GT,GT,GT,Nicholaschester,2024-10-09
7,Gary Rhodes,PBKS,RR,RR,RR,Coleburgh,2024-12-28
3,Miss Tammy Gray,RR,CSK,RR,RR,Danielbury,2024-09-22
2,Laura Wood,CSK,RCB,RCB,RCB,Suarezton,2024-11-29
8,Donald Snow,RCB,DC,RCB,DC,Lake Juan,2024-08-12
3,Scott Davis,LSG,KKR,LSG,LSG,Johnmouth,2024-10-23
9,Jenna Foster,SRH,RCB,SRH,SRH,East Matthewfurt,2025-03-08
7,Robert Cooper MD,PBKS,MI,PBKS,MI,Singletonmouth,2025-03-24
3,David Dunn,KKR,SRH,KKR,SRH,North Lindsayville,2025-05-05
8,Christopher Wilson,MI,CSK,MI,CSK,South Micheal,2024-05-22
5,Scott Hays,LSG,GT,GT,LSG,South Michelle,2024-12-05
8,Mr. John Diaz,PBKS,MI,MI,PBKS,South Matthewfort,2025-02-07
7,Courtney Ruiz,GT,MI,MI,MI,Walkerton,2024-12-17
8,Kimberly Sullivan,PBKS,RR,PBKS,PBKS,Janettown,2024-07-24
2,Michael Yates,GT,CSK,CSK,CSK,Port Joseph,2024-06-29
8,Jennifer Whitney,CSK,PBKS,PBKS,PBKS,Stephensside,2025-05-03
3,Mackenzie Murphy,RR,CSK,CSK,RR,Obrienborough,2025-03-26
2,Rebecca Ramirez,KKR,DC,DC,KKR,Benjaminside,2024-10-28
6,Dylan Bird,CSK,DC,DC,CSK,East Jamesview,2025-01-29
8,Nancy Casey,SRH,CSK,SRH,SRH,South David,2024-11-22
4,Sarah Leblanc,LSG,DC,LSG,DC,Kennethport,2024-12-03
3,Ryan Liu,LSG,GT,LSG,LSG,North Brandon,2024-10-31
9,David Lewis,SRH,KKR,KKR,SRH,Tiffanyland,2024-07-07
7,Stephanie Lyons,SRH,CSK,SRH,SRH,Jamiemouth,2024-07-15
8,Charles Daniel,GT,PBKS,PBKS,GT,Lake David,2024-06-26
7,William Chandler,RR,MI,RR,RR,East Toddburgh,2024-07-04
6,James Proctor,LSG,SRH,SRH,LSG,Patriciahaven,2024-10-03
7,Sheila Taylor,MI,RCB,RCB,MI,Sandraland,2024-10-27
8,Brittany Dixon,SRH,DC,SRH,DC,Christopherstad,2025-01-19
7,Barbara Washington,SRH,LSG,LSG,SRH,West Stacey,2024-12-26
7,Jesse Williams,KKR,GT,KKR,GT,Brandonfurt,2024-05-10
3,Caroline Hall,GT,LSG,GT,LSG,Pattersonmouth,2024-06-03
3,Katherine Chavez,KKR,RCB,RCB,KKR,Greenport,2024-07-22
9,Michaela Martin,MI,RR,MI,MI,Smithmouth,2024-08-11
9,Mr. Todd Mcintyre,SRH,GT,GT,GT,Port Brianport,2024-09-08
8,Christopher Gordon,MI,RCB,MI,RCB,North Anna,2024-09-02
2,Maria Davis,GT,MI,MI,GT,Johnsonmouth,2024-12-25
5,Thomas Jones,RR,PBKS,PBKS,RR,North Stevenchester,2025-04-07
9,Matthew Rodriguez,LSG,GT,LSG,LSG,North Derrickbury,2024-10-26
5,Jenna Allen,MI,RCB,RCB,RCB,Port Ericfurt,2024-12-10
2,Katherine Raymond,SRH,GT,SRH,SRH,Port Jenniferville,2024-06-28
6,Lindsay Carpenter,PBKS,DC,DC,PBKS,Lake Samantha,2025-04-02
7,Seth Armstrong,SRH,DC,SRH,DC,Valeriemouth,2025-03-01
9,Kara Osborn,PBKS,LSG,LSG,PBKS,West Ronald,2024-07-19
3,Michael Jenkins,RCB,DC,DC,RCB,Williamsborough,2024-06-02
2,Timothy Walsh,SRH,MI,SRH,MI,Danaland,2025-02-28
3,Amber Kennedy,PBKS,CSK,CSK,PBKS,North Scotttown,2025-01-14
4,William Thomas,CSK,MI,MI,CSK,South John,2025-02-24
4,Kevin Carroll MD,CSK,RR,CSK,CSK,Port Sarah,2025-03-06
9,Jacob Smith,MI,SRH,MI,SRH,Williamton,2025-05-01
2,Alexis Spencer,LSG,RR,LSG,LSG,Jessicaland,2024-11-24
2,Justin Taylor,KKR,MI,MI,MI,New Kimberlymouth,2025-04-15
9,Sarah Lopez,LSG,MI,LSG,LSG,South Stacey,2024-10-15
5,Luis Vasquez,RCB,DC,DC,DC,South Kevin,2024-08-14
3,Raymond Moreno,GT,MI,GT,GT,Lopezmouth,2025-01-02
4,Alison Thompson,KKR,SRH,KKR,KKR,New Jamesview,2025-03-30
2,Bryan Lewis,SRH,CSK,SRH,CSK,Ambertown,2024-12-11
9,Lindsey Campbell,CSK,LSG,CSK,LSG,West Alexis,2024-08-10
2,Rachel Taylor,DC,KKR,DC,KKR,Christinestad,2024-06-14
3,Susan Reed,GT,RR,GT,GT,Solistown,2024-11-19
8,Richard Sampson,CSK,MI,MI,MI,North Richardton,2025-03-27
5,Kevin Stevenson,RR,LSG,LSG,LSG,Kramermouth,2024-08-06
7,Mark Casey,RR,PBKS,PBKS,RR,Stevenland,2024-12-28
8,Jillian Robinson,LSG,RCB,RCB,LSG,Danielbury,2025-01-31
5,Jasmine Norton,RR,LSG,RR,RR,Rodriguezbury,2024-06-17
4,Douglas Kemp,SRH,DC,DC,SRH,Josephhaven,2025-02-10
9,Michael Tran,RCB,PBKS,PBKS,RCB,North Karen,2025-04-15
5,Anne Moore,SRH,PBKS,SRH,SRH,Huntbury,2025-04-02
9,Travis Rodgers,SRH,KKR,KKR,SRH,Port Adamstad,2024-12-28
7,Shawn Valdez,RR,LSG,RR,LSG,South Jack,2024-07-24
3,Scott Wolfe,GT,RCB,GT,RCB,West Alexandershire,2024-12-31
3,Stephanie Schroeder,MI,DC,MI,MI,Lake Charlestown,2025-01-28
9,Linda Thompson,RCB,CSK,RCB,CSK,Antonioshire,2024-05-30
7,Michael Chen,PBKS,MI,PBKS,PBKS,North Richardville,2024-11-18
9,Sara Phelps,LSG,SRH,SRH,LSG,South Marissa,2025-04-08
7,Norman Stuart,PBKS,DC,PBKS,PBKS,South Jonathan,2025-01-29
7,Elizabeth Hodges,SRH,RCB,SRH,RCB,Andrewshire,2024-06-14
5,Christopher Hansen,CSK,MI,CSK,CSK,Peterton,2024-07-02
6,Julie Moss,GT,LSG,GT,LSG,Wagnerview,2025-01-26
8,Michael Wiley,CSK,RR,RR,CSK,West Maryville,2024-06-26
6,Kyle Brooks,RR,SRH,SRH,SRH,Port Johnville,2025-01-03
5,Tony Casey,GT,RCB,GT,GT,East Tinaburgh,2024-12-08
9,Patricia Gonzales,RR,GT,RR,GT,Sheilamouth,2025-04-09
2,Melanie Brown,LSG,DC,LSG,DC,Port Monicaside,2024-06-19
4,Kathleen Hall,CSK,MI,MI,MI,Johnberg,2024-09-02
4,Joshua Casey,CSK,KKR,KKR,CSK,Evansside,2025-01-10
8,Joseph Smith,SRH,KKR,KKR,SRH,Stricklandport,2024-08-18
4,Kimberly Walker,GT,LSG,LSG,LSG,South Davidton,2025-04-21
2,David Rangel,DC,RR,RR,RR,Murraytown,2025-05-04
2,Katherine Pierce,PBKS,MI,PBKS,PBKS,Mendezburgh,2024-10-29
9,Micheal Phillips,KKR,DC,KKR,DC,Dwayneside,2024-10-12
7,Patricia Foster,PBKS,MI,PBKS,PBKS,North Dianaland,2024-12-03
6,Russell Murray,SRH,DC,DC,SRH,South Sabrina,2024-05-13
5,Christine Phillips,RCB,RR,RR,RCB,East Stevenstad,2024-10-12
2,Matthew Jones,LSG,GT,GT,LSG,Angelatown,2025-01-05
5,Kathleen Robbins,SRH,RR,RR,SRH,Anthonyshire,2024-10-05
5,Brian Montoya,CSK,DC,CSK,CSK,Princemouth,2024-08-13
5,Jennifer Rodriguez,RCB,CSK,RCB,RCB,South Connorland,2024-08-13
9,Jennifer Smith,RR,MI,MI,MI,Lake Mark,2025-02-04
8,Emma Mendoza,LSG,MI,LSG,LSG,North Danielhaven,2025-03-06
7,Joseph Lee,PBKS,LSG,LSG,PBKS,Sextonport,2025-02-25
7,Andrew Holmes,RCB,DC,DC,DC,Russelltown,2024-10-16
